Thomas Lehmann,OBSCURE: A Specification Language for Abstract Data Types.,Acta Inf.,1993
Toms Brzdil,Deciding probabilistic bisimilarity over infinite-state probabilistic systems.,Acta Inf.,2008
Edward G. Coffman Jr.,An efficient algorithm for finding ideal schedules.,Acta Inf.,2012
Erkki Mkinen,Synchronized extension systems.,Acta Inf.,2001
Jeffrey D. Ullman,Monotone Data Flow Analysis Frameworks.,Acta Inf.,1977
Wolfgang Merzenich,A Binary Operation on Trees and an Initial Algebra Characterization for Finite Tree Types.,Acta Inf.,1979
Don Pigozzi,A Complete Algebraic Characterization of Behavioral Subtyping.,Acta Inf.,2000
Eljas Soisalon-Soininen,Relaxed balance for search trees with local rebalancing.,Acta Inf.,2001
Arnold L. Rosenberg,Data Encodings and Their Costs.,Acta Inf.,1978
Elisa Bertino,Efficient systematic clustering method for k-anonymization.,Acta Inf.,2011
Nissim Francez,A Logic-Based Approach to Program Flow Analysis.,Acta Inf.,1998
Ambuj K. Singh,Program Refinement in Fair Transition Systems.,Acta Inf.,1993
Manfred P. Stadel,Behandlung verschiedener INTEGER-Darstellungen durch optimierende Compiler.,Acta Inf.,1981
Alan J. Perlis,Klaus Samelson.,Acta Inf.,1981
Tadao Kasami,Three Measures for Synchronic Dependence in Petri Nets.,Acta Inf.,1983
Dominique Potier,Optimal Multiprogramming.,Acta Inf.,1976
Vesa Halava,Improved matrix pair undecidability results.,Acta Inf.,2007
Victor Khomenko,STG decomposition strategies in combination with unfolding.,Acta Inf.,2009
Peter Pepper,On Hierarchies of Abstract Data Types.,Acta Inf.,1983
Rudolf Bayer,Data Management Support for Database Management.,Acta Inf.,1984
Ichiro Suzuki,Three Measures for Synchronic Dependence in Petri Nets.,Acta Inf.,1983
Cheryl E. Praeger,Optimal Worst Case Trees.,Acta Inf.,1987
Huei-Jan Shyr,Bi-Catenation and Shuffle Product of Languages.,Acta Inf.,1998
Rajan Suri,Optimal Multiprogramming.,Acta Inf.,1976
Joost Engelfriet,Context-Free Graph Grammars and Concatenation of Graphs.,Acta Inf.,1997
Walter Vogler,Richer interface automata with optimistic and pessimistic compatibility.,Acta Inf.,2015
Lars Jacobsen,Exponentially decreasing number of operations in balanced trees.,Acta Inf.,2005
Jrg Nievergelt,An All-Round Sweep Algorithm for 2-Dimensional Nearest-Neighbor Problems.,Acta Inf.,1992
William E. Wright,Binary Search Trees in Secondary Memory.,Acta Inf.,1981
Joachim Klein 0001,Compositional construction of most general controllers.,Acta Inf.,2015
Flavio Corradini,Liveness of a mutex algorithm in a fair process algebra.,Acta Inf.,2009
S. B. Quiring,Efficient LL(1) Error Correction and Recovery Using Only Insertions.,Acta Inf.,1980
Derick Wood,Optimum Multiway Search Trees.,Acta Inf.,1980
Boris Klebansky,Backtracking in Recursive Computations.,Acta Inf.,1977
Hsien-Kuei Hwang,Asymptotic Expansions of the Mergesort Recurrences.,Acta Inf.,1998
Francesco Ranzato,An efficient simulation algorithm on Kripke structures.,Acta Inf.,2014
John-Jules Ch. Meyer,Hiding in Stream Semantics of Uniform Concurrency.,Acta Inf.,1990
Maria Rita Di Berardini,Liveness of a mutex algorithm in a fair process algebra.,Acta Inf.,2009
Juan Ignacio Perna,Correct hardware synthesis - An algebraic approach.,Acta Inf.,2011
Michael L. Fredman,Adaptive sorting: an information theoretic perspective.,Acta Inf.,2008
Victor Khomenko,Merged processes: a new condensed representation of Petri net behaviour.,Acta Inf.,2006
Ralf Wollowski,STG decomposition strategies in combination with unfolding.,Acta Inf.,2009
B. Bartsch,A Conservation Law for G/G/m Queueing Systems.,Acta Inf.,1978
Sheng Yu,Representation and uniformization of algebraic transductions.,Acta Inf.,2007
Fred B. Schneider,Thrifty Execution of Task Pipelines.,Acta Inf.,1985
Annabelle McIver,Demonic angelic and unbounded probabilistic choices in sequential programs.,Acta Inf.,2001
Josep Daz,Parallel Approximation Schemes for Problems on Planar Graphs.,Acta Inf.,1996
Mogens Nielsen,EOL Systems with Control Devices.,Acta Inf.,1974
Klaus Kspert,Storage Utilization in B*-Trees with a Generalized Overflow Technique.,Acta Inf.,1983
Jan Ramon,A polynomial time computable metric between point sets.,Acta Inf.,2001
Md. Enamul Kabir,Efficient systematic clustering method for k-anonymization.,Acta Inf.,2011
William E. Wright,Some Average Performance Measures for the B-Tree.,Acta Inf.,1985
Maurice Nivat,Rational Bijection of Rational Sets.,Acta Inf.,1980
Barbara Jobstmann,Synthesizing robust systems.,Acta Inf.,2014
G. Bauer,Finite Complete Rewriting Systems and the Complexity of the Word Problem.,Acta Inf.,1984
Mark H. Overmars,Stratified Balanced Search Trees.,Acta Inf.,1982
Carol Critchlow,The Expressive Power of Delay Operators in SCCS.,Acta Inf.,1991
Wuu Yang,On the Look-Ahead Problem in Lexical Analysis.,Acta Inf.,1995
Kim S. Larsen,Relaxed red-black trees with group updates.,Acta Inf.,2002
Eleni Mandrali,On weighted first-order logics with discounting.,Acta Inf.,2014
Horst von Brand,Computational Algorithms for Networks of Queues with Rejection Blocking.,Acta Inf.,1989
Haringkan Lennerstad,Optimal recovery schemes in fault tolerant distributed computing.,Acta Inf.,2005
Roberto Gorrieri,Performance Preorder and Competitive Equivalence.,Acta Inf.,1997
Tien Van Do,A Markovian queue with varying number of servers and applications to the performance comparison of HSDPA user equipment.,Acta Inf.,2011
Arnold Schnhage,Schnelle Multiplikation von Polynomen ber Krpern der Charakteristik 2.,Acta Inf.,1977
Stphane Coulondre,A top-down proof procedure for generalized data dependencies.,Acta Inf.,2003
Joseph M. Morris,Laws of Data Refinement.,Acta Inf.,1989
Bernhard Mescheder,On the Number of Active-Operations Needed to Compute the Discrete Fourier Transform.,Acta Inf.,1980
Sascha Klppelholz,Compositional construction of most general controllers.,Acta Inf.,2015
Egidio Astesiano,Labelled transition logic: an outline.,Acta Inf.,2001
Qing Ding,Single Machine Scheduling with Deadlines and Increasing Rates of Processing Times.,Acta Inf.,2000
Jrg Desel,The Synthesis Problem of Petri Nets.,Acta Inf.,1996
Maria J. Serna,Parallel Approximation Schemes for Problems on Planar Graphs.,Acta Inf.,1996
Enrico Tronci,Synchronized regular expressions.,Acta Inf.,2003
Jan A. Bergstra,Instruction sequence processing operators.,Acta Inf.,2012
Jos Luiz Fiadeiro,Specification and Verification of Database Dynamics.,Acta Inf.,1988
Lin S. Woo,Constructing Maximal Slicings from Geometry.,Acta Inf.,1986
Mark H. Overmars,Maintaining Range Trees in Secondary Memory. Part I: Partitions.,Acta Inf.,1990
Ramachandran Vaidyanathan,Parallel Integer Sorting Using Small Operations.,Acta Inf.,1995
Gerald Lttgen,Richer interface automata with optimistic and pessimistic compatibility.,Acta Inf.,2015
Isi Mitrani,Complete Parameterized Families of Job Scheduling Strategies.,Acta Inf.,1977
Nicholas C. Wormald,A Tree-Based Mergesort.,Acta Inf.,1998
Eike Best,M-Nets: An Algebra of High-Level Petri Nets with an Application to the Semantics of Concurrent Programming Languages.,Acta Inf.,1998
Laurent Alonso,On the tree inclusion problem.,Acta Inf.,2001
Geoff Wozniak,Sticky-free and overhang-free DNA languages.,Acta Inf.,2003
Flavio Corradini,Performance Preorder and Competitive Equivalence.,Acta Inf.,1997
Anton Nijholt,A Survey of Normal Form Covers for Context Free Grammars.,Acta Inf.,1980
Kamala Krithivasan,Generalized normal form for rewriting P systems.,Acta Inf.,2002
Jacques Loeckx,OBSCURE: A Specification Language for Abstract Data Types.,Acta Inf.,1993
J. Ian Munro,Optimum Reorganization Points for Arbitrary Database Costs.,Acta Inf.,1982
Gerhard J. Woeginger,Project scheduling with irregular costs: complexity approximability and algorithms.,Acta Inf.,2004
Chul E. Kim,On 3-Head Versus 2-Head Finite Automata.,Acta Inf.,1974
Gary Levin,A Proof Technique for Communicating Sequential Processes.,Acta Inf.,1981
George Humfeld,Multitype Multiprogramming Models.,Acta Inf.,1976
Zoltn Flp 0001,Equational weighted tree transformations.,Acta Inf.,2012
Karel Culik II,Systolic Automata for VLSI on Balanced Trees.,Acta Inf.,1982
Vijay K. Vaishnavi,Optimum Multiway Search Trees.,Acta Inf.,1980
Luc Devroye,Branching Processes in the Analysis of the Heights of Trees.,Acta Inf.,1987
Clement H. C. Leung,Analysis of Space Allocation in a Generally Fragmented Linear Store.,Acta Inf.,1987
M. R. Garey,Performance Bounds on the Splitting Algorithm for Binary Testing.,Acta Inf.,1974
Amir M. Ben-Amram,A complexity tradeoff in ranking-function termination proofs.,Acta Inf.,2009
Beverly A. Sanders,Data Refinement of Mixed Specifications.,Acta Inf.,1998
Giuseppe Serazzi,A Workload Model Representative of Static and Dynamic Characteristics.,Acta Inf.,1986
Leah Epstein,Online square and cube packing.,Acta Inf.,2005
Bogdan Aman,Solving a weak NP-complete problem in polynomial time by using mutual mobile membrane systems.,Acta Inf.,2011
Martin Kutrib,Head and state hierarchies for unary multi-head finite automata.,Acta Inf.,2014
Paul Pritchard,Explaining the Wheel Sieve.,Acta Inf.,1982
Rob J. van Glabbeek,Special issue on "Combining Compositionality and Concurrency": part 1.,Acta Inf.,2015
Matthew Hennessy,An Efficiency Preorder for Processes.,Acta Inf.,1992
Benedetto Intrigila,Synchronized regular expressions.,Acta Inf.,2003
Steven Delvaux,On best transitive approximations to simple graphs.,Acta Inf.,2004
Wieslaw Kubiak,An efficient algorithm for finding ideal schedules.,Acta Inf.,2012
Paul Pritchard,Opportunistic Algorithms for Eliminating Supersets.,Acta Inf.,1991
Rada Chirkova,Query optimization in information integration.,Acta Inf.,2013
Dominic Duggan,Type-based hot swapping of running modules.,Acta Inf.,2005
Linqiang Pan,Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.,Acta Inf.,2006
Alexandre David,Efficient controller synthesis for a fragment of MTL0#8734.,Acta Inf.,2014
Hsu-Chun Yen,Priority Conflict-Free Petri Nets.,Acta Inf.,1998
Christian Choffrut,On Real-Time Cellular Automata and Trellis Automata.,Acta Inf.,1984
Oded Shmueli,NP-complete Problems Simplified on Tree Schemas.,Acta Inf.,1983
Lorenzo Bettini,Compositional type checking of delta-oriented software product lines.,Acta Inf.,2013
Michael Schenke,Transformational Design of Real-Time Systems Part I: From Requirements to Program Specifications.,Acta Inf.,1999
Simon J. Gay,Subtyping for session types in the pi calculus.,Acta Inf.,2005
Heikki Mannila,Distance Measures for Point Sets and their Computation.,Acta Inf.,1997
S. Arun-Kumar,An Efficiency Preorder for Processes.,Acta Inf.,1992
Bradford G. Nickerson,A deterministic skip list for k-dimensional range search.,Acta Inf.,2005
Christian Lengauer,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.,Acta Inf.,2000
Paul M. Zislis,Semantic Decomposition of Computer Programs: An Aid to Program Testing.,Acta Inf.,1974
Sven Skyum,Nonterminals Homomorphisms and Codings in Different Variations of OL-Systems.  I. Deterministic Systems.,Acta Inf.,1974
Hisao Kameda,A Note on Multi-queue Scheduling of Two Tasks.,Acta Inf.,1983
Jacques Labetoulle,A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.,Acta Inf.,1976
Oscar H. Ibarra,On 3-Head Versus 2-Head Finite Automata.,Acta Inf.,1974
Stavros Konstantinidis,Representation and uniformization of algebraic transductions.,Acta Inf.,2007
Jean-Franccedilois Perrot,Monoiumldes syntactiques des langages algbriques.,Acta Inf.,1977
Teuvo Laurinolli,Bounded Quantification and Relations Recognizable by Finite Automata.,Acta Inf.,1978
Richard Hull,Domain Independence and the Relational Calculus.,Acta Inf.,1994
Rudolf Berghammer,Applying relation algebra and Rel View to solve problems on orders and lattices.,Acta Inf.,2008
Thomas N. Hibbard,Orthogonality of Information Structures.,Acta Inf.,1978
Charlie Svahnberg,Optimal recovery schemes in fault tolerant distributed computing.,Acta Inf.,2005
Marisa Venturini Zilli,Synchronized regular expressions.,Acta Inf.,2003
Michel Bidoit,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,Acta Inf.,1994
Neelam Soundararajan,A Proof System for Distributed Processes.,Acta Inf.,1988
M. Kempf,Time Optimal Left to Right Construction of Position Trees.,Acta Inf.,1987
Lutz Eichner,Total lineare Realisierbarkeit endlicher Automaten.,Acta Inf.,1974
Emanuela Fachini,Languages Accepted by Systolic Y-Tree Automata: Structural Characterizations.,Acta Inf.,1992
Demetres D. Kouvatsos,Maximum Entropy and the  G/G/1/N  Queue.,Acta Inf.,1986
Michel Latteux,The Family of One-Counter Languages is Closed Under Quotient.,Acta Inf.,1985
Hermann A. Maurer,Rational Bijection of Rational Sets.,Acta Inf.,1980
S. C. Chang,A Model and a Fast Algorithm for Multiple Errors Spelling Correction.,Acta Inf.,1992
Tarja Syst,Minimally adequate teacher synthesizes statechart diagrams.,Acta Inf.,2002
Hans-Dieter Ehrich,Specifying Communication in Distributed Information Systems.,Acta Inf.,2000
Bernd Reusch,On Some Decidable Properties of Finite State Translations.,Acta Inf.,1982
Xinxin Liu,A Modal Logic for Message Passing Processes.,Acta Inf.,1995
T. C. Hu,Least Upper Bound on the Cost of Optimum Binary Search Trees.,Acta Inf.,1972
Hessam Khoshnevisan,Efficient Memo-Table Management Strategies.,Acta Inf.,1990
Amir Pnueli,Axiomatic Approach to Total Correctness of Programs.,Acta Inf.,1974
David Pager,Eliminating Unit Productions from LR Parsers.,Acta Inf.,1977
Levent V. Orman,Relational Database Constraints as Counterexamples.,Acta Inf.,1997
Robin Milner,Calculi for Interaction.,Acta Inf.,1996
Walter Vogler,Liveness of a mutex algorithm in a fair process algebra.,Acta Inf.,2009
Dominique Potier,Analyse d'un algorithme de gestion simultane Mmoire centrale - Disque de pagination.,Acta Inf.,1974
Gerardo Costa,A Fair Calculus of Communicating Systems.,Acta Inf.,1984
Grzegorz Rozenberg,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,Acta Inf.,1988
Yoshihide Igarashi,Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.,Acta Inf.,1989
Stefan Reisch,A Gap Between the Actual Complexity of Permutations and Their Entropy Defined by Stoszlig.,Acta Inf.,1981
Balakrishnan Krishnamurthy,Short Proofs for Tricky Formulas.,Acta Inf.,1985
Joachim Biskup,Optimization of a Subclass of Conjunctive Queries.,Acta Inf.,1995
C. A. Middelburg,Instruction sequence processing operators.,Acta Inf.,2012
Malcolm Tyrrell,Dual unbounded nondeterminacy recursion and fixpoints.,Acta Inf.,2007
Tjalling Gelsema,A new natural structural congruence in the pi-calculus with replication.,Acta Inf.,2004
J. H. Hine,Complete Parameterized Families of Job Scheduling Strategies.,Acta Inf.,1977
Richard N. Taylor,Complexity of Analyzing the Synchronization Structure of Concurrent Programs.,Acta Inf.,1983
Walter Vogler,Merged processes: a new condensed representation of Petri net behaviour.,Acta Inf.,2006
Eric Badouel,Trace Nets and Process Automata.,Acta Inf.,1995
Jan van Leeuwen,A Useful Lemma for Context-Free Programmed Grammars.,Acta Inf.,1979
Tero Harju,New proof for the undecidability of the circular PCP.,Acta Inf.,2013
Armin B. Cremers,Orthogonality of Information Structures.,Acta Inf.,1978
Martin Berger,Genericity and the pi-calculus.,Acta Inf.,2005
Hendrik Jan Hoogeboom,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,Acta Inf.,1988
Eric Lilin,Extended multi bottom-up tree transducers.,Acta Inf.,2009
Patrick Cousot,Sometime = Always + Recursion = Always on the Equivalence of the Intermittent and Invariant Assertions Methods for Proving Inevitability Properties of Programs.,Acta Inf.,1987
Chen-Ming Fan,A note on autodense related languages.,Acta Inf.,2010
Elisabeth Pelz,M-Nets: An Algebra of High-Level Petri Nets with an Application to the Semantics of Concurrent Programming Languages.,Acta Inf.,1998
Dirk Hauschildt,Petri Net Algorithms in the Theory of Matrix Grammars.,Acta Inf.,1994
Frank Wm. Tompa,Optimum Reorganization Points for Arbitrary Database Costs.,Acta Inf.,1982
Jan Strejcek,The stuttering principle revisited.,Acta Inf.,2005
Andreas G. Veneris,Efficient Algorithms for Checking the Atomicity of a Run of Read and Write Operations.,Acta Inf.,1995
Thomas Strothotte,An Algorithm for Merging Heaps.,Acta Inf.,1985
Eljas Soisalon-Soininen,Chromatic Binary Search Trees. A Structure for Concurrent Rebalancing.,Acta Inf.,1996
Rob van Stee,Online square and cube packing.,Acta Inf.,2005
Kurt Mehlhorn,Van Wijngaarden Grammars and Space Complexity Classs EXSPACE.,Acta Inf.,1977
Joakim von Wright,The Lattice of Data Refinement.,Acta Inf.,1994
Maurice Bruynooghe,A polynomial time computable metric between point sets.,Acta Inf.,2001
Heiko Vogler,High Level Tree Transducers and Iterated Pushdown Tree Transducers.,Acta Inf.,1988
Graham Wrightson,Paramodulated Connection Graphs.,Acta Inf.,1980
Arturo Carpi,Strongly transitive automata and the Cernyacute conjecture.,Acta Inf.,2009
Jinzhao Wu,Refinement of actions for real-time concurrent systems with causal ambiguity.,Acta Inf.,2006
Sascha Fendrich,Richer interface automata with optimistic and pessimistic compatibility.,Acta Inf.,2015
Linda Heyker,Context-Free Graph Languages of Bounded Degree are Generated by Apex Graph Grammars.,Acta Inf.,1994
Hseyin Lort,Exploiting colored Petri nets to decide on permutation admissibility.,Acta Inf.,2009
Elaine J. Weyuker,Parsing Regular Grammars with Finite Lookahead.,Acta Inf.,1981
Richard P. Hopkins,M-Nets: An Algebra of High-Level Petri Nets with an Application to the Semantics of Concurrent Programming Languages.,Acta Inf.,1998
Wayne A. Babich,The Method of Attributes for Data Flow Analysis: Part II. Demand Analysis.,Acta Inf.,1978
Johannes A. La Poutr,Running a job on a collection of partly available machines with on-line restarts.,Acta Inf.,2001
Jan Janousek,On regular tree languages and deterministic pushdown automata.,Acta Inf.,2009
Lawrence T. Kou,On Efficient Implementation of an Approximation Algorithm for the Steiner Tree Problem.,Acta Inf.,1990
Adrian Johnstone,Reducing non-determinism in right nulled GLR parsers.,Acta Inf.,2004
Carlos Caleiro,Specifying Communication in Distributed Information Systems.,Acta Inf.,2000
Jan Strejcek,On decidability of LTL model checking for process rewrite systems.,Acta Inf.,2009
Jrgen Nehmer,Dispatcher Primitives for the Construction of Operating System Kernels.,Acta Inf.,1975
Antonella Santone,Automatic verification of concurrent systems using a formula-based compositional approach.,Acta Inf.,2002
Klaus H. Hinrichs,An All-Round Sweep Algorithm for 2-Dimensional Nearest-Neighbor Problems.,Acta Inf.,1992
J.-P. Lvy,Automatic Correction of Syntax-Errors in Programming Languages.,Acta Inf.,1974
Aviezri S. Fraenkel,Is Text Compression by Prefixes and Suffixes Practical?,Acta Inf.,1983
Peter Schlichtiger,Data Management Support for Database Management.,Acta Inf.,1984
Karel Culik II,Computational Fractal Geometry with WFA.,Acta Inf.,1997
Andrzej Blikle,The Clean Termination of Iterative Programs.,Acta Inf.,1981
Carroll Morgan,Demonic angelic and unbounded probabilistic choices in sequential programs.,Acta Inf.,2001
David A. Watt,The Parsing Problem for Affix Grammars.,Acta Inf.,1977
Alexandre Brandwajn,A Model of a Time Sharing Virtual Memory System Solved Using Equivalence and Decomposition Methods.,Acta Inf.,1974
Grzegorz Rozenberg,Two-Level Meta-Controlled Substitution Grammars.,Acta Inf.,1978
Anthony J. Bonner,Querying Sequence Databases with Transducers.,Acta Inf.,2000
Gary T. Leavens,Specification and Verification of Object-Oriented Programs Using Supertype Abstraction.,Acta Inf.,1995
Andrzej Ehrenfeucht,Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.,Acta Inf.,1974
Friedrich Otto,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,Acta Inf.,2013
Ryszard Janicki,Relational structures model of concurrency.,Acta Inf.,2008
Kim S. Larsen,Relaxed balance for search trees with local rebalancing.,Acta Inf.,2001
Wim H. Hesselink,A distributed resource allocation algorithm for many processes.,Acta Inf.,2013
Thomas Klingler,A Gap Between the Actual Complexity of Permutations and Their Entropy Defined by Stoszlig.,Acta Inf.,1981
Antonios Kalampakas,Recognizability of graph and pattern languages.,Acta Inf.,2006
Walter Dosch,On Hierarchies of Abstract Data Types.,Acta Inf.,1983
Antonella Santone,Abstract reduction in directed model checking CCS processes.,Acta Inf.,2012
Adam L. Buchsbaum,Lazy Structure Sharing for Query Optimization.,Acta Inf.,1995
Ralph-Johan Back,Reasoning Algebraically about Loops.,Acta Inf.,1999
George Markowsky,Best Huffman Trees.,Acta Inf.,1981
Michael G. Lamoureux,A deterministic skip list for k-dimensional range search.,Acta Inf.,2005
Erzsbet Csuhaj-Varj,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.,Acta Inf.,2000
Lucian Ilie,On the Expressiveness of Subset-Sum Representations.,Acta Inf.,2000
Moshe Mor,Is Text Compression by Prefixes and Suffixes Practical?,Acta Inf.,1983
Armin B. Cremers,Functional Behavior in Data Spaces.,Acta Inf.,1978
Hua Wang,Efficient systematic clustering method for k-anonymization.,Acta Inf.,2011
Hermann K.-G. Walter,Inhibitionsfelder.,Acta Inf.,1972
Carlos R. P. Hartmann,Parallel Integer Sorting Using Small Operations.,Acta Inf.,1995
Wojciech Fraczak,M-Nets: An Algebra of High-Level Petri Nets with an Application to the Semantics of Concurrent Programming Languages.,Acta Inf.,1998
